,,,,,,Gemeentenaam,LON(east),LAT(north)
Gemeente Nunspeet,,Nunspeet,Gemeente,01/01/1972,13/06/2022,NUNSPEET,52.377,5.784
Gemeente Oegstgeest,,Oegstgeest,Gemeente,,19/05/2022,OEGSTGEEST,52.178,4.462
Gemeente Oirschot,,Oirschot,Gemeente,,26/05/2022,OIRSCHOT,51.504,5.307
Gemeente Oisterwijk,,Oisterwijk,Gemeente,,19/04/2022,OISTERWIJK,51.581,5.199
Gemeente Oldambt,,Oldambt,Gemeente,01/01/2010,14/06/2022,WINSCHOTEN,53.144,7.039
Gemeente Oldebroek,,Oldebroek,Gemeente,,10/05/2022,OLDEBROEK,52.446,5.9
Gemeente Oldenzaal,,Oldenzaal,Gemeente,,13/06/2022,OLDENZAAL,52.313,6.93
Gemeente Olst-Wijhe,,Olst-Wijhe,Gemeente,26/03/2002,21/04/2022,WIJHE,52.385,6.129
Gemeente Ommen,,Ommen,Gemeente,01/05/1923,14/05/2022,OMMEN,52.526,6.424
Gemeente Oost Gelre,,Oost Gelre,Gemeente,,20/05/2022,LICHTENVOORDE,51.988,6.563
Gemeente Oosterhout,,Oosterhout,Gemeente,,19/04/2022,OOSTERHOUT NB,51.639,4.862
Gemeente Ooststellingwerf,,Ooststellingwerf,Gemeente,,14/05/2022,OOSTERWOLDE FR,52.995,6.294
Gemeente Oostzaan,,Oostzaan,Gemeente,,20/05/2022,OOSTZAAN,52.441,4.876
Gemeente Opmeer,,Opmeer,Gemeente,,09/06/2022,OPMEER,52.706,4.945
Gemeente Opsterland,,Opsterland,Gemeente,,24/05/2022,BEETSTERZWAAG,53.059,6.079
Gemeente Oss,,Oss,Gemeente,,02/06/2022,OSS,51.765,5.526
Gemeente Oude IJsselstreek,,Oude IJsselstreek,Gemeente,01/01/2005,14/06/2022,GENDRINGEN,51.878,6.375
Gemeente Ouder-Amstel,,Ouder-Amstel,Gemeente,,17/06/2022,OUDERKERK AAN DE AMSTEL,52.297,4.904
Gemeente Oudewater,,Oudewater,Gemeente,,16/05/2022,OUDEWATER,52.02,4.875
Gemeente Overbetuwe,,Overbetuwe,Gemeente,01/01/2001,16/05/2022,ELST GLD,51.918,5.845
Gemeente Papendrecht,,Papendrecht,Gemeente,,24/05/2022,PAPENDRECHT,51.826,4.683
Gemeente Peel en Maas,,Peel en Maas,Gemeente,01/01/2010,08/06/2022,PANNINGEN,51.33,5.979
Gemeente Pekela,,Pekela,Gemeente,01/01/1990,01/06/2022,OUDE PEKELA,53.104,7.008
Gemeente Pijnacker-Nootdorp,,Pijnacker-Nootdorp,Gemeente,01/01/2002,18/05/2022,PIJNACKER,52.013,4.439
Gemeente Purmerend,,Purmerend,Gemeente,,26/04/2022,PURMEREND,52.507,4.954
Gemeente Putten,,Putten,Gemeente,,19/04/2022,PUTTEN,52.262,5.608
Gemeente Raalte,,Raalte,Gemeente,,10/05/2022,RAALTE,52.388,6.272
Gemeente Reimerswaal,,Reimerswaal,Gemeente,01/01/1970,19/04/2022,KRUININGEN,51.45,4.033
Gemeente Renkum,,Renkum,Gemeente,,03/06/2022,OOSTERBEEK,51.988,5.842
Gemeente Renswoude,,Renswoude,Gemeente,,25/05/2022,RENSWOUDE,52.072,5.547
Gemeente Reusel-De Mierden,,Reusel-De Mierden,Gemeente,01/01/1997,19/04/2022,REUSEL,51.362,5.163
Gemeente Rheden,,Rheden,Gemeente,,19/04/2022,DE STEEG,52.018,6.057
Gemeente Rhenen,,Rhenen,Gemeente,,25/05/2022,RHENEN,51.962,5.568
Gemeente Ridderkerk,,Ridderkerk,Gemeente,,01/06/2022,RIDDERKERK,51.872,4.599
Gemeente Rijssen-Holten,,Rijssen-Holten,Gemeente,15/03/2003,14/06/2022,RIJSSEN,52.307,6.522
Gemeente Rijswijk,,Rijswijk,Gemeente,,19/04/2022,RIJSWIJK ZH,52.035,4.318
Gemeente Roerdalen,,Roerdalen,Gemeente,01/01/1993,02/06/2022,SINT ODILIENBERG,51.142,5.993
Gemeente Roermond,,Roermond,Gemeente,,19/04/2022,ROERMOND,51.198,5.986
Gemeente Roosendaal,,Roosendaal,Gemeente,01/01/1997,19/04/2022,ROOSENDAAL,51.536,4.457
Gemeente Rotterdam,,Rotterdam,Gemeente,,19/04/2022,ROTTERDAM,51.923,4.479
Gemeente Rozendaal,,Rozendaal,Gemeente,,27/04/2022,ROZENDAAL,52.008,5.965
Gemeente Rucphen,,Rucphen,Gemeente,,11/05/2022,RUCPHEN,51.539,4.579
Gemeente Schagen,,Schagen,Gemeente,,14/05/2022,SCHAGEN,52.786,4.801
Gemeente Scherpenzeel,,Scherpenzeel,Gemeente,,15/06/2022,SCHERPENZEEL GLD,52.081,5.47
Gemeente Schiedam,,Schiedam,Gemeente,,19/04/2022,SCHIEDAM,51.918,4.404
Gemeente Schiermonnikoog,,Schiermonnikoog,Gemeente,,14/05/2022,SCHIERMONNIKOOG,53.479,6.161
Gemeente Schouwen-Duiveland,,Schouwen-Duiveland,Gemeente,01/01/1997,19/04/2022,ZIERIKZEE,51.654,3.914
Gemeente Simpelveld,,Simpelveld,Gemeente,,19/04/2022,SIMPELVELD,50.835,5.984
Gemeente Sint-Michielsgestel,,Sint-Michielsgestel,Gemeente,,01/06/2022,SINT-MICHIELSGESTEL,51.64,5.347
Gemeente Sittard-Geleen,,Sittard-Geleen,Gemeente,01/01/2001,13/05/2022,SITTARD,50.995,5.869
Gemeente Sliedrecht,,Sliedrecht,Gemeente,,19/04/2022,SLIEDRECHT,51.819,4.769
Gemeente Sluis,,Sluis,Gemeente,01/01/2003,14/06/2022,OOSTBURG,51.326,3.487
Gemeente Smallingerland,,Smallingerland,Gemeente,,26/04/2022,DRACHTEN,53.104,6.097
Gemeente Soest,,Soest,Gemeente,,30/04/2022,SOEST,52.177,5.294
